algorithm,k,superholderpriority,path,recall
transitive_alpha0.6,1,0,8,0
transitive_alpha0.6,1,1,8,1
transitive_alpha0.6,1,0,9,0
transitive_alpha0.6,1,1,9,0.904761904761905
transitive_alpha0.6,1,0,10,0
transitive_alpha0.6,1,1,10,1
transitive_alpha0.6,1,0,11,0
transitive_alpha0.6,1,1,11,1
transitive_alpha0.6,1,0,12,0
transitive_alpha0.6,1,1,12,1
transitive_alpha0.7,1,0,1,0.9923273657289
transitive_alpha0.7,1,1,1,0.994884910485933
transitive_alpha0.7,1,0,2,0.0881057268722467
transitive_alpha0.7,1,1,2,0.92511013215859
transitive_alpha0.7,1,0,3,0.0111111111111111
transitive_alpha0.7,1,1,3,0.9
transitive_alpha0.7,1,0,4,0
transitive_alpha0.7,1,1,4,0.908045977011494
transitive_alpha0.7,1,0,5,0
transitive_alpha0.7,1,1,5,1
transitive_alpha0.7,1,0,6,0
transitive_alpha0.7,1,1,6,1
transitive_alpha0.7,1,0,7,0
transitive_alpha0.7,1,1,7,1
transitive_alpha0.7,1,0,8,0
transitive_alpha0.7,1,1,8,1
transitive_alpha0.7,1,0,9,0
transitive_alpha0.7,1,1,9,0.904761904761905
transitive_alpha0.7,1,0,10,0
transitive_alpha0.7,1,1,10,1
transitive_alpha0.7,1,0,11,0
transitive_alpha0.7,1,1,11,1
transitive_alpha0.7,1,0,12,0
transitive_alpha0.7,1,1,12,1
transitive_alpha0.8,1,0,1,0.9923273657289
transitive_alpha0.8,1,1,1,0.9923273657289
transitive_alpha0.8,1,0,2,0.0969162995594714
transitive_alpha0.8,1,1,2,0.920704845814978
transitive_alpha0.8,1,0,3,0.3
transitive_alpha0.8,1,1,3,0.922222222222222
transitive_alpha0.8,1,0,4,0.252873563218391
transitive_alpha0.8,1,1,4,0.954022988505747
transitive_alpha0.8,1,0,5,0.0277777777777778
transitive_alpha0.8,1,1,5,1
transitive_alpha0.8,1,0,6,0
transitive_alpha0.8,1,1,6,1
transitive_alpha0.8,1,0,7,0
transitive_alpha0.8,1,1,7,1
transitive_alpha0.8,1,0,8,0
transitive_alpha0.8,1,1,8,1
transitive_alpha0.8,1,0,9,0
transitive_alpha0.8,1,1,9,0.952380952380952
transitive_alpha0.8,1,0,10,0
transitive_alpha0.8,1,1,10,1
transitive_alpha0.8,1,0,11,0
transitive_alpha0.8,1,1,11,1
transitive_alpha0.8,1,0,12,0
transitive_alpha0.8,1,1,12,1
transitive_alpha0.9,1,0,1,0.9923273657289
transitive_alpha0.9,1,1,1,0.9923273657289
transitive_alpha0.9,1,0,2,0.0969162995594714
transitive_alpha0.9,1,1,2,0.920704845814978
transitive_alpha0.9,1,0,3,0.3
transitive_alpha0.9,1,1,3,0.922222222222222
transitive_alpha0.9,1,0,4,0.310344827586207
transitive_alpha0.9,1,1,4,0.954022988505747
transitive_alpha0.9,1,0,5,0.0833333333333333
transitive_alpha0.9,1,1,5,1
transitive_alpha0.9,1,0,6,0.0526315789473684
transitive_alpha0.9,1,1,6,1
transitive_alpha0.9,1,0,7,0
transitive_alpha0.9,1,1,7,1
transitive_alpha0.9,1,0,8,0
transitive_alpha0.9,1,1,8,1
transitive_alpha0.9,1,0,9,0
transitive_alpha0.9,1,1,9,1
transitive_alpha0.9,1,0,10,0
transitive_alpha0.9,1,1,10,1
transitive_alpha0.9,1,0,11,0
transitive_alpha0.9,1,1,11,1
transitive_alpha0.9,1,0,12,0
transitive_alpha0.9,1,1,12,1
transitive_alpha0.999,1,0,1,0.9923273657289
transitive_alpha0.999,1,1,1,0.9923273657289
transitive_alpha0.999,1,0,2,0.0969162995594714
transitive_alpha0.999,1,1,2,0.920704845814978
transitive_alpha0.999,1,0,3,0.3
transitive_alpha0.999,1,1,3,0.922222222222222
transitive_alpha0.999,1,0,4,0.310344827586207
transitive_alpha0.999,1,1,4,0.954022988505747
transitive_alpha0.999,1,0,5,0.0833333333333333
transitive_alpha0.999,1,1,5,1
transitive_alpha0.999,1,0,6,0.0526315789473684
transitive_alpha0.999,1,1,6,1
transitive_alpha0.999,1,0,7,0
transitive_alpha0.999,1,1,7,1
transitive_alpha0.999,1,0,8,0
transitive_alpha0.999,1,1,8,1
transitive_alpha0.999,1,0,9,0
transitive_alpha0.999,1,1,9,1
transitive_alpha0.999,1,0,10,0
transitive_alpha0.999,1,1,10,1
transitive_alpha0.999,1,0,11,0
transitive_alpha0.999,1,1,11,1
transitive_alpha0.999,1,0,12,0
transitive_alpha0.999,1,1,12,1
transitivedpi_alpha0.0,1,0,1,0.9923273657289
transitivedpi_alpha0.0,1,1,1,0.9923273657289
transitivedpi_alpha0.0,1,0,2,0
transitivedpi_alpha0.0,1,1,2,0
transitivedpi_alpha0.0,1,0,3,0
transitivedpi_alpha0.0,1,1,3,0
transitivedpi_alpha0.0,1,0,4,0
transitivedpi_alpha0.0,1,1,4,0
transitivedpi_alpha0.0,1,0,5,0
transitivedpi_alpha0.0,1,1,5,0
transitivedpi_alpha0.0,1,0,6,0
transitivedpi_alpha0.0,1,1,6,0
transitivedpi_alpha0.0,1,0,7,0
transitivedpi_alpha0.0,1,1,7,0
transitivedpi_alpha0.0,1,0,8,0
transitivedpi_alpha0.0,1,1,8,0
transitivedpi_alpha0.0,1,0,9,0
transitivedpi_alpha0.0,1,1,9,0
transitivedpi_alpha0.0,1,0,10,0
transitivedpi_alpha0.0,1,1,10,0
transitivedpi_alpha0.0,1,0,11,0
transitivedpi_alpha0.0,1,1,11,0
transitivedpi_alpha0.0,1,0,12,0
transitivedpi_alpha0.0,1,1,12,0
transitivedpi_alpha0.1,1,0,1,0.989769820971867
transitivedpi_alpha0.1,1,1,1,0.9923273657289
transitivedpi_alpha0.1,1,0,2,0.00440528634361234
